sales,quantity,profit,label
261.96,2,41.9136,1
731.94,3,219.582,2
14.62,2,6.8714,1
957.5775,5,-383.031,2
22.368,2,2.5164,1
48.86,7,14.1694,1
7.28,4,1.9656,1
907.152,6,90.7152,2
18.504,3,5.7825,1
114.9,5,34.47,1
1706.184,9,85.3092,0
911.424,4,68.3568,2
15.552,3,5.4432,1
407.976,3,132.5922,2
68.81,5,-123.858,1
2.544,3,-3.816,1
665.88,6,13.3176,2
55.5,2,9.99,1
8.56,2,2.4824,1
213.48,3,16.011,1
22.72,4,7.384,1
19.46,7,5.0596,1
60.34,7,15.6884,1
71.372,2,-1.0196,1
1044.63,3,240.2649,2
11.648,2,4.2224,1
90.57,3,11.7741,1
3083.43,7,-1665.0522,0
9.618,2,-7.0532,1
124.2,3,15.525,1
3.264,2,1.1016,1
86.304,6,9.7092,1
6.858,6,-5.715,1
15.76,2,3.546,1
29.472,3,9.9468,1
1097.544,7,123.4737,2
190.92,5,-147.963,1
113.328,9,35.415,1
532.3992,3,-46.9764,2
212.058,3,-15.147,1
371.168,4,41.7564,1
147.168,4,16.5564,1
77.88,2,3.894,1
95.616,2,9.5616,1
45.98,2,19.7714,1
17.46,2,8.2062,1
211.96,4,8.4784,1
45.0,3,4.95,1
21.8,2,6.104,1
38.22,6,17.9634,1
75.18,6,35.3346,1
6.16,2,2.9568,1
89.99,1,17.0981,1
15.26,7,6.2566,1
1029.95,5,298.6855,2
208.56,6,52.14,1
32.4,5,15.552,1
319.41,5,7.098,1
14.56,2,6.9888,1
30.0,2,3.3,1
48.48,4,16.362,1
1.68,1,0.84,1
13.98,2,6.1512,1
25.824,6,9.3612,1
146.73,3,68.9631,1
79.76,4,22.3328,1
213.115,5,-15.2225,1
1113.024,8,111.3024,2
167.968,4,62.988,1
75.88,2,35.6636,1
4.616,1,1.731,1
19.05,3,8.763,1
831.936,8,-114.3912,2
97.04,2,1.213,1
72.784,1,-18.196,1
1.248,3,-1.9344,1
9.708,3,-5.8248,1
27.24,3,2.724,1
19.3,5,-14.475,1
208.16,1,56.2032,1
16.74,3,8.0352,1
14.9,5,4.172,1
21.39,1,6.2031,1
200.984,7,62.8075,1
230.376,3,-48.9549,1
301.96,2,33.2156,1
19.99,1,6.7966,1
6.16,2,2.9568,1
158.368,7,13.8572,1
20.1,3,6.633,1
73.584,2,8.2782,1
6.48,1,3.1104,1
12.96,2,6.2208,1
53.34,3,16.5354,1
32.96,2,16.1504,1
5.682,1,-3.788,1
96.53,7,40.5426,1
51.312,3,17.9592,1
77.88,6,22.5852,1
64.624,7,22.6184,1
95.976,3,-10.7973,1
1.788,3,-3.0396,1
23.92,4,11.7208,1
238.896,6,-26.8758,1
102.36,3,-3.8385,1
36.882,3,-25.8174,1
74.112,8,17.6016,1
27.992,1,2.0994,1
3.304,1,1.0738,1
339.96,5,67.992,1
41.96,2,10.9096,1
75.96,2,22.788,1
27.24,6,13.3476,1
40.096,14,14.5348,1
4.72,2,1.652,1
23.976,3,7.4925,1
130.464,6,44.0316,1
787.53,3,165.3813,2
157.794,1,-115.7156,1
47.04,3,18.3456,1
30.84,4,13.878,1
226.56,6,63.4368,1
115.02,9,51.759,1
68.04,7,19.7316,1
600.558,3,-8.5794,2
617.7,6,-407.682,2
2.388,2,-1.8308,1
243.992,7,30.499,1
81.424,2,-9.1602,1
238.56,3,26.2416,1
59.97,5,-11.994,1
78.304,2,29.364,1
21.456,9,6.9732,1
20.04,3,9.6192,1
35.44,1,16.6568,1
11.52,4,3.456,1
4.02,2,1.9698,1
76.176,3,26.6616,1
65.88,6,18.4464,1
43.12,14,20.6976,1
82.8,2,10.35,1
8.82,3,2.3814,1
10.86,3,5.1042,1
143.7,3,68.976,1
839.43,3,218.2518,2
671.93,7,20.1579,2
93.888,4,12.9096,1
384.45,11,103.8015,1
149.97,3,5.9988,1
1951.84,8,585.552,0
171.55,5,80.6285,1
157.92,5,17.766,1
203.184,2,15.2388,1
58.38,7,26.271,1
105.52,4,48.5392,1
80.88,6,21.0288,1
6.63,3,1.7901,1
457.568,2,51.4764,2
14.62,2,6.8714,1
944.93,7,236.2325,2
